time,Demand,Day-ahead demand forecast,Net generation,Total interchange,Source: U.S. Energy Information Administration,,,,,
19:00 PST 12/6/2017,37400,37432,26285,-11116,0,,,,,
20:00 PST 12/6/2017,36857,36831,25610,-11249,0,,,,,
21:00 PST 12/6/2017,36014,35793,24772,-11240,0,,,,,
22:00 PST 12/6/2017,34197,33866,23180,-11019,0,,,,,
23:00 PST 12/6/2017,31496,31198,21161,-10334,0,,,,,
00:00 PST 12/7/2017,29067,28728,19286,-9782,0,,,,,
01:00 PST 12/7/2017,27588,26924,17923,-9663,0,,,,,
02:00 PST 12/7/2017,26658,25966,17259,-9399,0,,,,,
03:00 PST 12/7/2017,26320,25453,17173,-9147,0,,,,,
04:00 PST 12/7/2017,26265,25425,17170,-9095,0,,,,,
05:00 PST 12/7/2017,27022,26245,17913,-9110,0,,,,,
06:00 PST 12/7/2017,28841,28386,19314,-9527,0,,,,,
07:00 PST 12/7/2017,32034,31455,21478,-10555,0,,,,,
08:00 PST 12/7/2017,33262,32798,23173,-10090,0,,,,,
09:00 PST 12/7/2017,32637,32203,24284,-8353,0,,,,,
10:00 PST 12/7/2017,32042,31530,25376,-6667,0,,,,,
11:00 PST 12/7/2017,31978,31086,25436,-6542,0,,,,,
12:00 PST 12/7/2017,31796,30675,25297,-6500,0,,,,,
13:00 PST 12/7/2017,31528,30584,25537,-5991,0,,,,,
14:00 PST 12/7/2017,31830,30996,25597,-6233,0,,,,,
15:00 PST 12/7/2017,32163,31510,25350,-6813,0,,,,,
16:00 PST 12/7/2017,32613,32291,24288,-8325,0,,,,,
17:00 PST 12/7/2017,34445,34205,24865,-9581,0,,,,,
18:00 PST 12/7/2017,37091,36878,27252,-9838,0,,,,,
19:00 PST 12/7/2017,36964,37182,26823,-10145,0,,,,,
20:00 PST 12/7/2017,36394,36603,26392,-10002,0,,,,,
21:00 PST 12/7/2017,35437,35522,25587,-9850,0,,,,,
22:00 PST 12/7/2017,33729,33718,23947,-9780,0,,,,,
23:00 PST 12/7/2017,31241,31098,22293,-8949,0,,,,,
00:00 PST 12/8/2017,28846,28595,19947,-8900,0,,,,,
01:00 PST 12/8/2017,27228,26832,18881,-8345,0,,,,,
02:00 PST 12/8/2017,26238,25792,18151,-8087,0,,,,,
03:00 PST 12/8/2017,25985,25254,17988,-7997,0,,,,,
04:00 PST 12/8/2017,25874,25242,17979,-7895,0,,,,,
05:00 PST 12/8/2017,26371,26030,18553,-7818,0,,,,,
06:00 PST 12/8/2017,28332,28033,20192,-8140,0,,,,,
07:00 PST 12/8/2017,31487,30998,22256,-9230,0,,,,,
08:00 PST 12/8/2017,32811,32221,23937,-8875,0,,,,,
09:00 PST 12/8/2017,32452,31861,24647,-7804,0,,,,,
10:00 PST 12/8/2017,32236,31281,25432,-6806,0,,,,,
11:00 PST 12/8/2017,31848,30780,25343,-6504,0,,,,,
12:00 PST 12/8/2017,31550,30444,25219,-6330,0,,,,,
13:00 PST 12/8/2017,31437,30251,24782,-6653,0,,,,,
14:00 PST 12/8/2017,31745,30563,24841,-6904,0,,,,,
15:00 PST 12/8/2017,32037,31009,24561,-7477,0,,,,,
16:00 PST 12/8/2017,32434,31699,23479,-8956,0,,,,,
17:00 PST 12/8/2017,33996,33505,24754,-9242,0,,,,,
18:00 PST 12/8/2017,36502,36166,26421,-10082,0,,,,,
19:00 PST 12/8/2017,36178,36067,25922,-10256,0,,,,,
20:00 PST 12/8/2017,35434,35294,25329,-10106,0,,,,,
21:00 PST 12/8/2017,34597,34290,24423,-10172,0,,,,,
22:00 PST 12/8/2017,33307,32800,23336,-9973,0,,,,,
23:00 PST 12/8/2017,31179,30775,22234,-8944,0,,,,,
00:00 PST 12/9/2017,28941,28589,20048,-8892,0,,,,,
01:00 PST 12/9/2017,27664,26572,18587,-9078,0,,,,,
02:00 PST 12/9/2017,26575,25430,17952,-8621,0,,,,,
03:00 PST 12/9/2017,26032,24734,17602,-8431,0,,,,,
04:00 PST 12/9/2017,25968,24502,17526,-8443,0,,,,,
05:00 PST 12/9/2017,26241,24711,17796,-8444,0,,,,,
06:00 PST 12/9/2017,27092,25568,18123,-8971,0,,,,,
07:00 PST 12/9/2017,28260,26771,18421,-9838,0,,,,,
08:00 PST 12/9/2017,28490,27455,18873,-9618,0,,,,,
09:00 PST 12/9/2017,29178,27867,20680,-8497,0,,,,,
10:00 PST 12/9/2017,29337,27750,21953,-7384,0,,,,,
11:00 PST 12/9/2017,29009,27650,22403,-6606,0,,,,,
12:00 PST 12/9/2017,28756,27397,22467,-6290,0,,,,,
13:00 PST 12/9/2017,28635,27294,22488,-6146,0,,,,,
14:00 PST 12/9/2017,28799,27412,22362,-6439,0,,,,,
15:00 PST 12/9/2017,29109,27706,21735,-7376,0,,,,,
16:00 PST 12/9/2017,29506,28640,20618,-8887,0,,,,,
17:00 PST 12/9/2017,31245,30449,21322,-9923,0,,,,,
18:00 PST 12/9/2017,34265,33453,23160,-11106,0,,,,,
19:00 PST 12/9/2017,34250,33642,23000,-11252,0,,,,,
20:00 PST 12/9/2017,33633,32971,22730,-10903,0,,,,,
21:00 PST 12/9/2017,32880,32197,22218,-10661,0,,,,,
22:00 PST 12/9/2017,31808,31097,21165,-10642,0,,,,,
23:00 PST 12/9/2017,30136,29355,19969,-10167,0,,,,,
00:00 PST 12/10/2017,28161,27341,18370,-9790,0,,,,,
01:00 PST 12/10/2017,26915,25911,17656,-9260,0,,,,,
02:00 PST 12/10/2017,25777,24828,16975,-8803,0,,,,,
03:00 PST 12/10/2017,25137,24152,16631,-8504,0,,,,,
04:00 PST 12/10/2017,24868,23792,15982,-8887,0,,,,,
05:00 PST 12/10/2017,24957,23977,16079,-8878,0,,,,,
06:00 PST 12/10/2017,25553,24462,16381,-9173,0,,,,,
07:00 PST 12/10/2017,26913,25265,17117,-9795,0,,,,,
08:00 PST 12/10/2017,27217,25524,18360,-8856,0,,,,,
09:00 PST 12/10/2017,27309,25901,20415,-6895,0,,,,,
10:00 PST 12/10/2017,27584,26025,21269,-6315,0,,,,,
11:00 PST 12/10/2017,27411,25955,21300,-6112,0,,,,,
12:00 PST 12/10/2017,27293,25865,21581,-5712,0,,,,,
13:00 PST 12/10/2017,27427,25979,21636,-5793,0,,,,,
14:00 PST 12/10/2017,27739,26367,21314,-6422,0,,,,,
15:00 PST 12/10/2017,28109,27044,20865,-7246,0,,,,,
16:00 PST 12/10/2017,28888,28025,19881,-9005,0,,,,,
17:00 PST 12/10/2017,30963,30150,21071,-9893,0,,,,,
18:00 PST 12/10/2017,34260,33344,23546,-10714,0,,,,,
19:00 PST 12/10/2017,34598,33776,23630,-10969,0,,,,,
20:00 PST 12/10/2017,34285,33418,23341,-10944,0,,,,,
21:00 PST 12/10/2017,33501,32485,22858,-10645,0,,,,,
22:00 PST 12/10/2017,31935,30922,21506,-10428,0,,,,,
23:00 PST 12/10/2017,29609,28809,20003,-9605,0,,,,,
00:00 PST 12/11/2017,27615,26689,18568,-9047,0,,,,,
